Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28 Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q8NEV1|CSK23_HUMAN / sp|P68400|CSK21_HUMAN,"Casein kinase II subunit alpha 3 OS=Homo sapiens OX=9606 GN=CSNK2A3 PE=1 SV=2
Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1",CSNK2A3 / CSNK2A1,6.2186E+4,3.8290E+4,4.4626E+4
sp|Q8TC05|MDM1_HUMAN,Nuclear protein MDM1 OS=Homo sapiens OX=9606 GN=MDM1 PE=1 SV=2,MDM1,4.7120E+4,3.6085E+4,4.1932E+4
sp|Q9BSU1|PHAF1_HUMAN,Phagosome assembly factor 1 OS=Homo sapiens OX=9606 GN=PHAF1 PE=1 SV=1,PHAF1,1.1107E+4,1.3954E+4,1.7045E+4
sp|Q9BW04|SARG_HUMAN,Specifically androgen-regulated gene protein OS=Homo sapiens OX=9606 GN=SARG PE=1 SV=2,SARG,1.1965E+6,1.1169E+6,1.2156E+6
sp|Q9HCU4|CELR2_HUMAN,Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens OX=9606 GN=CELSR2 PE=1 SV=1,CELSR2,7.3928E+3,7.1630E+3,#N/A
sp|Q9HD40|SPCS_HUMAN,O-phosphoseryl-tRNA(Sec) selenium transferase OS=Homo sapiens OX=9606 GN=SEPSECS PE=1 SV=2,SEPSECS,2.8746E+4,1.0971E+4,2.3156E+4
sp|Q9NZT2|OGFR_HUMAN,Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3,OGFR,4.5251E+4,4.3192E+4,3.6855E+4
sp|Q9UBC2|EP15R_HUMAN,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1,EPS15L1,1.3801E+6,1.3067E+6,1.3500E+6
sp|Q9UBP0|SPAST_HUMAN,Spastin OS=Homo sapiens OX=9606 GN=SPAST PE=1 SV=1,SPAST,6.1161E+4,6.9000E+4,8.1993E+4
sp|Q9UBS8|RNF14_HUMAN,E3 ubiquitin-protein ligase RNF14 OS=Homo sapiens OX=9606 GN=RNF14 PE=1 SV=1,RNF14,1.2454E+4,9.7576E+3,1.0197E+4
sp|O43187|IRAK2_HUMAN,Interleukin-1 receptor-associated kinase-like 2 OS=Homo sapiens OX=9606 GN=IRAK2 PE=1 SV=2,IRAK2,1.7619E+4,1.4297E+4,1.0819E+4
sp|O95363|SYFM_HUMAN,"Phenylalanine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=FARS2 PE=1 SV=1",FARS2,9.2352E+3,9.0418E+3,7.6608E+3
sp|P08311|CATG_HUMAN,Cathepsin G OS=Homo sapiens OX=9606 GN=CTSG PE=1 SV=2,CTSG,2.3404E+5,2.5132E+5,2.2611E+5
sp|P26599|PTBP1_HUMAN,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=2,PTBP1,5.7208E+5,5.5243E+5,5.3286E+5
sp|P30039|PBLD_HUMAN,Phenazine biosynthesis-like domain-containing protein OS=Homo sapiens OX=9606 GN=PBLD PE=1 SV=2,PBLD,1.0648E+5,1.0664E+5,9.7426E+4
sp|P30040|ERP29_HUMAN,Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4,ERP29,1.8669E+6,1.9281E+6,1.8600E+6
sp|P36551|HEM6_HUMAN,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",CPOX,2.2872E+5,1.9302E+5,2.0229E+5
sp|P98179|RBM3_HUMAN,RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1,RBM3,1.0296E+5,1.0170E+5,9.0879E+4
sp|Q13371|PHLP_HUMAN,Phosducin-like protein OS=Homo sapiens OX=9606 GN=PDCL PE=1 SV=3,PDCL,1.5848E+4,1.3030E+4,4.5107E+3
sp|Q15904|VAS1_HUMAN,V-type proton ATPase subunit S1 OS=Homo sapiens OX=9606 GN=ATP6AP1 PE=1 SV=2,ATP6AP1,5.5523E+5,2.9358E+5,6.6142E+5
sp|Q6UXB8|PI16_HUMAN,Peptidase inhibitor 16 OS=Homo sapiens OX=9606 GN=PI16 PE=1 SV=1,PI16,7.7866E+6,8.1191E+6,7.8169E+6
sp|Q86UT6|NLRX1_HUMAN,NLR family member X1 OS=Homo sapiens OX=9606 GN=NLRX1 PE=1 SV=1,NLRX1,1.4211E+6,1.4452E+6,1.4132E+6
sp|Q8IWV7|UBR1_HUMAN,E3 ubiquitin-protein ligase UBR1 OS=Homo sapiens OX=9606 GN=UBR1 PE=1 SV=1,UBR1,5.0345E+5,4.1822E+5,4.1428E+5
sp|Q8IYI6|EXOC8_HUMAN,Exocyst complex component 8 OS=Homo sapiens OX=9606 GN=EXOC8 PE=1 SV=2,EXOC8,1.4325E+5,1.2867E+5,2.1641E+5
sp|Q8NG08|HELB_HUMAN,DNA helicase B OS=Homo sapiens OX=9606 GN=HELB PE=1 SV=2,HELB,8.3815E+4,7.9217E+4,9.5274E+4
sp|Q8TER0|SNED1_HUMAN,"Sushi, nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNED1 PE=1 SV=2",SNED1,2.0893E+5,1.9603E+5,2.2612E+5
sp|Q92918|M4K1_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP4K1 PE=1 SV=1,MAP4K1,1.1240E+4,1.2103E+4,9.7620E+3
sp|Q96KR6|F210B_HUMAN,"Protein FAM210B, mitochondrial OS=Homo sapiens OX=9606 GN=FAM210B PE=1 SV=2",FAM210B,2.4342E+3,5.3213E+3,4.3706E+3
sp|Q9BQT9|CSTN3_HUMAN,Calsyntenin-3 OS=Homo sapiens OX=9606 GN=CLSTN3 PE=1 SV=1,CLSTN3,3.4490E+3,7.2307E+3,3.5712E+3
sp|Q9H4L5|OSBL3_HUMAN,Oxysterol-binding protein-related protein 3 OS=Homo sapiens OX=9606 GN=OSBPL3 PE=1 SV=1,OSBPL3,7.6356E+4,8.1799E+4,7.6131E+4
sp|Q9HCM3|K1549_HUMAN,UPF0606 protein KIAA1549 OS=Homo sapiens OX=9606 GN=KIAA1549 PE=1 SV=4,KIAA1549,6.6093E+4,5.1885E+4,5.4279E+4
sp|Q9NR99|MXRA5_HUMAN,Matrix-remodeling-associated protein 5 OS=Homo sapiens OX=9606 GN=MXRA5 PE=1 SV=3,MXRA5,4.5848E+5,5.7484E+5,5.6792E+5
sp|Q9NRV9|HEBP1_HUMAN,Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1,HEBP1,2.4212E+5,2.4637E+5,2.4401E+5
sp|Q9NRY4|RHG35_HUMAN,Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3,ARHGAP35,7.7789E+4,6.6343E+4,7.3817E+4
sp|Q9NX08|COMD8_HUMAN,COMM domain-containing protein 8 OS=Homo sapiens OX=9606 GN=COMMD8 PE=1 SV=1,COMMD8,5.6734E+4,2.3120E+4,4.1748E+4
sp|Q9UIB8|SLAF5_HUMAN,SLAM family member 5 OS=Homo sapiens OX=9606 GN=CD84 PE=1 SV=1,CD84,2.6364E+6,2.4049E+6,2.3357E+6
sp|A0A075B6H9|LV469_HUMAN,Immunoglobulin lambda variable 4-69 OS=Homo sapiens OX=9606 GN=IGLV4-69 PE=1 SV=1,IGLV4-69,8.6322E+5,1.0256E+6,1.0542E+6
sp|O43597|SPY2_HUMAN,Protein sprouty homolog 2 OS=Homo sapiens OX=9606 GN=SPRY2 PE=1 SV=1,SPRY2,1.1131E+4,6.8002E+3,2.4433E+3
sp|O43866|CD5L_HUMAN,CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1,CD5L,2.6222E+7,2.6056E+7,2.6555E+7
sp|O94929|ABLM3_HUMAN,Actin-binding LIM protein 3 OS=Homo sapiens OX=9606 GN=ABLIM3 PE=1 SV=3,ABLIM3,6.0395E+5,6.6420E+5,8.0319E+5
sp|P0DOY3|IGLC3_HUMAN / sp|P0DOY2|IGLC2_HUMAN,"Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1
Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1",IGLC3 / IGLC2,1.3714E+8,1.3485E+8,1.4273E+8
sp|P42765|THIM_HUMAN,"3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2",ACAA2,2.5744E+5,2.8280E+5,2.7265E+5
sp|P43652|AFAM_HUMAN,Afamin OS=Homo sapiens OX=9606 GN=AFM PE=1 SV=1,AFM,3.0612E+6,3.1641E+6,3.0381E+6
sp|P45880|VDAC2_HUMAN,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2,VDAC2,4.4532E+6,4.3148E+6,4.1843E+6
sp|P51811|XK_HUMAN,Endoplasmic reticulum membrane adapter protein XK OS=Homo sapiens OX=9606 GN=XK PE=1 SV=5,XK,6.5455E+4,4.7894E+4,4.7310E+4
sp|P78314|3BP2_HUMAN,SH3 domain-binding protein 2 OS=Homo sapiens OX=9606 GN=SH3BP2 PE=1 SV=2,SH3BP2,8.1930E+3,8.8448E+3,6.5155E+3
sp|Q13405|RM49_HUMAN,Large ribosomal subunit protein mL49 OS=Homo sapiens OX=9606 GN=MRPL49 PE=1 SV=1,MRPL49,1.5924E+4,1.8503E+4,1.9124E+4
sp|Q13795|ARFRP_HUMAN,ADP-ribosylation factor-related protein 1 OS=Homo sapiens OX=9606 GN=ARFRP1 PE=1 SV=1,ARFRP1,4.9054E+3,7.1331E+3,#N/A
sp|Q6NUK1|SCMC1_HUMAN,Mitochondrial adenyl nucleotide antiporter SLC25A24 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=2,SLC25A24,8.6105E+5,8.6605E+5,8.8494E+5
sp|Q8NHL6|LIRB1_HUMAN,Leukocyte immunoglobulin-like receptor subfamily B member 1 OS=Homo sapiens OX=9606 GN=LILRB1 PE=1 SV=1,LILRB1,3.0575E+4,3.9011E+4,1.4755E+4
sp|Q969M7|UBE2F_HUMAN,NEDD8-conjugating enzyme UBE2F OS=Homo sapiens OX=9606 GN=UBE2F PE=1 SV=1,UBE2F,3.7139E+4,3.9081E+4,1.4443E+5
sp|Q9BUA6|MYL10_HUMAN,Myosin regulatory light chain 10 OS=Homo sapiens OX=9606 GN=MYL10 PE=1 SV=2,MYL10,#N/A,#N/A,#N/A
sp|Q9BWF3|RBM4_HUMAN / sp|Q9BQ04|RBM4B_HUMAN,"RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1
RNA-binding protein 4B OS=Homo sapiens OX=9606 GN=RBM4B PE=1 SV=1",RBM4 / RBM4B,4.4926E+3,5.2098E+3,9.1195E+3
sp|Q9NQ11|AT132_HUMAN,Polyamine-transporting ATPase 13A2 OS=Homo sapiens OX=9606 GN=ATP13A2 PE=1 SV=2,ATP13A2,5.8244E+4,4.9777E+4,5.2216E+4
sp|Q9NY15|STAB1_HUMAN,Stabilin-1 OS=Homo sapiens OX=9606 GN=STAB1 PE=1 SV=3,STAB1,1.0513E+5,1.0067E+5,1.0786E+5
sp|Q9UQ90|SPG7_HUMAN,Mitochondrial inner membrane m-AAA protease component paraplegin OS=Homo sapiens OX=9606 GN=SPG7 PE=1 SV=2,SPG7,5.3248E+3,4.5363E+3,9.9844E+3
sp|Q9Y276|BCS1_HUMAN,Mitochondrial chaperone BCS1 OS=Homo sapiens OX=9606 GN=BCS1L PE=1 SV=1,BCS1L,2.1666E+5,2.2749E+5,2.9946E+4
sp|A0A075B6R9|KVD24_HUMAN / sp|A0A0C4DH68|KV224_HUMAN,"Probable non-functional immunoglobulin kappa variable 2D-24 OS=Homo sapiens OX=9606 GN=IGKV2D-24 PE=1 SV=1
Immunoglobulin kappa variable 2-24 OS=Homo sapiens OX=9606 GN=IGKV2-24 PE=1 SV=1",IGKV2D-24 / IGKV2-24,2.5029E+5,2.4993E+4,2.7773E+4
sp|O00217|NDUS8_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1",NDUFS8,1.0935E+5,1.0469E+5,1.2324E+5
sp|O00471|EXOC5_HUMAN,Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1,EXOC5,1.2612E+5,1.2104E+5,1.1287E+5
sp|O60271|JIP4_HUMAN,C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens OX=9606 GN=SPAG9 PE=1 SV=4,SPAG9,3.4954E+5,3.3171E+5,3.3356E+5
sp|O94829|IPO13_HUMAN,Importin-13 OS=Homo sapiens OX=9606 GN=IPO13 PE=1 SV=3,IPO13,#N/A,1.0510E+4,5.1904E+3
sp|O95479|G6PE_HUMAN,GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens OX=9606 GN=H6PD PE=1 SV=2,H6PD,5.7736E+3,4.1824E+3,1.7025E+3
sp|P05121|PAI1_HUMAN,Plasminogen activator inhibitor 1 OS=Homo sapiens OX=9606 GN=SERPINE1 PE=1 SV=1,SERPINE1,3.1617E+6,3.0255E+6,2.9891E+6
sp|P0DMV8|HS71A_HUMAN / sp|P0DMV9|HS71B_HUMAN,"Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1
Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1",HSPA1A / HSPA1B,9.8461E+6,9.7131E+6,1.0267E+7
sp|P11047|LAMC1_HUMAN,Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3,LAMC1,2.5047E+6,2.5631E+6,2.8157E+6
sp|P11940|PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,PABPC1,3.5827E+4,2.3576E+4,3.4017E+4
sp|P18433|PTPRA_HUMAN,Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens OX=9606 GN=PTPRA PE=1 SV=3,PTPRA,2.2559E+5,2.5188E+5,2.2492E+5
sp|P42830|CXCL5_HUMAN,C-X-C motif chemokine 5 OS=Homo sapiens OX=9606 GN=CXCL5 PE=1 SV=1,CXCL5,3.2560E+5,2.1147E+5,2.1014E+5
sp|P55084|ECHB_HUMAN,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",HADHB,3.5958E+6,3.6213E+6,3.7290E+6
sp|P55103|INHBC_HUMAN,Inhibin beta C chain OS=Homo sapiens OX=9606 GN=INHBC PE=1 SV=1,INHBC,4.2243E+5,2.9925E+5,3.6447E+5
sp|Q08623|HDHD1_HUMAN,Pseudouridine-5'-phosphatase OS=Homo sapiens OX=9606 GN=PUDP PE=1 SV=3,PUDP,2.1382E+4,2.7855E+4,1.9150E+4
sp|Q6UX71|PXDC2_HUMAN,Plexin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PLXDC2 PE=1 SV=1,PLXDC2,1.0146E+6,1.0185E+6,1.0393E+6
sp|Q7Z3U7|MON2_HUMAN,Protein MON2 homolog OS=Homo sapiens OX=9606 GN=MON2 PE=1 SV=3,MON2,7.2533E+4,3.2127E+5,4.4557E+5
sp|Q86UP2|KTN1_HUMAN,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,KTN1,3.4947E+6,1.0998E+6,3.1088E+6
sp|Q86VW0|SESD1_HUMAN,SEC14 domain and spectrin repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=SESTD1 PE=1 SV=2,SESTD1,9.5306E+4,5.0950E+4,6.2718E+4
sp|Q8NEN9|PDZD8_HUMAN,PDZ domain-containing protein 8 OS=Homo sapiens OX=9606 GN=PDZD8 PE=1 SV=1,PDZD8,1.2246E+5,1.1961E+5,1.0957E+5
sp|Q9UKK3|PARP4_HUMAN,Protein mono-ADP-ribosyltransferase PARP4 OS=Homo sapiens OX=9606 GN=PARP4 PE=1 SV=3,PARP4,5.9576E+3,7.5369E+3,6.4498E+3
sp|Q9Y619|ORNT1_HUMAN,Mitochondrial ornithine transporter 1 OS=Homo sapiens OX=9606 GN=SLC25A15 PE=1 SV=1,SLC25A15,6.6435E+5,6.3940E+5,6.8771E+5
sp|P02765|FETUA_HUMAN,Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2,AHSG,5.5965E+6,5.4709E+6,6.5300E+6
sp|P07478|TRY2_HUMAN,Trypsin-2 OS=Homo sapiens OX=9606 GN=PRSS2 PE=1 SV=1,PRSS2,3.4111E+5,3.5462E+5,3.3924E+5
sp|P08237|PFKAM_HUMAN,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2",PFKM,5.0166E+5,4.2859E+5,4.5382E+5
sp|P09669|COX6C_HUMAN,Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2,COX6C,7.4715E+5,6.1335E+5,7.1024E+5
sp|P14324|FPPS_HUMAN,Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4,FDPS,6.6396E+5,6.5352E+5,7.1397E+5
sp|P36575|ARRC_HUMAN,Arrestin-C OS=Homo sapiens OX=9606 GN=ARR3 PE=1 SV=2,ARR3,#N/A,#N/A,#N/A
sp|P42338|PK3CB_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform OS=Homo sapiens OX=9606 GN=PIK3CB PE=1 SV=1",PIK3CB,2.4792E+5,2.4297E+5,2.6609E+5
sp|P63104|1433Z_HUMAN,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,YWHAZ,1.2843E+7,1.3232E+7,1.3109E+7
sp|Q5MNZ6|WIPI3_HUMAN,WD repeat domain phosphoinositide-interacting protein 3 OS=Homo sapiens OX=9606 GN=WDR45B PE=1 SV=2,WDR45B,1.3535E+4,6.2002E+3,1.3048E+4
sp|Q8NG31|KNL1_HUMAN,Outer kinetochore KNL1 complex subunit KNL1 OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=3,KNL1,1.6991E+5,1.8481E+5,1.8836E+5
sp|Q8NGJ5|O51L1_HUMAN,Olfactory receptor 51L1 OS=Homo sapiens OX=9606 GN=OR51L1 PE=3 SV=1,OR51L1,1.9580E+4,1.9430E+4,1.9627E+4
sp|Q8TEW0|PARD3_HUMAN,Partitioning defective 3 homolog OS=Homo sapiens OX=9606 GN=PARD3 PE=1 SV=2,PARD3,6.1981E+5,5.8893E+5,6.2158E+5
sp|Q8WZA9|IRGQ_HUMAN,Immunity-related GTPase family Q protein OS=Homo sapiens OX=9606 GN=IRGQ PE=1 SV=1,IRGQ,9.7520E+4,9.2428E+4,1.1422E+5
sp|Q92614|MY18A_HUMAN,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,MYO18A,7.0470E+6,2.9591E+7,5.0113E+7
sp|Q93009|UBP7_HUMAN,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2,USP7,1.0479E+5,6.7223E+4,9.4558E+4
sp|Q9H4A4|AMPB_HUMAN,Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2,RNPEP,6.9976E+4,6.0027E+4,4.7034E+4
sp|Q9NUM4|T106B_HUMAN,Transmembrane protein 106B OS=Homo sapiens OX=9606 GN=TMEM106B PE=1 SV=2,TMEM106B,1.4464E+4,1.5767E+4,1.5322E+4
sp|Q9Y2G0|EFR3B_HUMAN,Protein EFR3 homolog B OS=Homo sapiens OX=9606 GN=EFR3B PE=1 SV=2,EFR3B,#N/A,#N/A,#N/A
sp|O15126|SCAM1_HUMAN,Secretory carrier-associated membrane protein 1 OS=Homo sapiens OX=9606 GN=SCAMP1 PE=1 SV=2,SCAMP1,6.3561E+4,7.8387E+4,5.3901E+4
sp|O43583|DENR_HUMAN,Density-regulated protein OS=Homo sapiens OX=9606 GN=DENR PE=1 SV=2,DENR,1.4579E+5,1.2856E+5,1.5523E+5
sp|P01133|EGF_HUMAN,Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2,EGF,9.8713E+5,8.9443E+5,1.0923E+6
sp|P13501|CCL5_HUMAN,C-C motif chemokine 5 OS=Homo sapiens OX=9606 GN=CCL5 PE=1 SV=3,CCL5,5.3309E+6,5.1274E+6,4.9389E+6
sp|P14550|AK1A1_HUMAN,Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,AKR1A1,4.5418E+5,6.2893E+5,6.4578E+5
sp|P21980|TGM2_HUMAN,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,TGM2,8.9891E+5,9.2976E+5,8.0210E+5
sp|P30740|ILEU_HUMAN,Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 GN=SERPINB1 PE=1 SV=1,SERPINB1,8.9177E+6,9.7158E+6,9.5055E+6
sp|P42226|STAT6_HUMAN,Signal transducer and activator of transcription 6 OS=Homo sapiens OX=9606 GN=STAT6 PE=1 SV=1,STAT6,1.9219E+5,1.3159E+5,1.6354E+5
sp|P52848|NDST1_HUMAN,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 OS=Homo sapiens OX=9606 GN=NDST1 PE=1 SV=1,NDST1,5.7578E+4,3.7357E+4,3.8996E+4
sp|P54687|BCAT1_HUMAN,"Branched-chain-amino-acid aminotransferase, cytosolic OS=Homo sapiens OX=9606 GN=BCAT1 PE=1 SV=3",BCAT1,8.6143E+4,9.3121E+4,7.9023E+4
sp|P55072|TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,VCP,7.6565E+5,9.4316E+5,8.8115E+5
sp|Q13555|KCC2G_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=4,CAMK2G,4.9399E+3,4.5935E+3,3.8020E+3
sp|Q15637|SF01_HUMAN,Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4,SF1,7.0079E+3,#N/A,#N/A
sp|Q15653|IKBB_HUMAN,NF-kappa-B inhibitor beta OS=Homo sapiens OX=9606 GN=NFKBIB PE=1 SV=2,NFKBIB,3.0679E+4,2.7205E+4,9.1319E+3
sp|Q15717|ELAV1_HUMAN,ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2,ELAVL1,5.0679E+4,4.1469E+4,2.9942E+4
sp|Q5JRA6|TGO1_HUMAN,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,MIA3,8.0238E+5,8.0657E+5,8.6065E+5
sp|Q6UWD8|CP054_HUMAN,Transmembrane protein C16orf54 OS=Homo sapiens OX=9606 GN=C16orf54 PE=1 SV=1,C16orf54,1.6907E+5,1.5809E+5,1.5627E+5
sp|Q7L8L6|FAKD5_HUMAN,"FAST kinase domain-containing protein 5, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD5 PE=1 SV=1",FASTKD5,2.0173E+5,1.6417E+5,1.9621E+5
sp|Q7Z7N9|T179B_HUMAN,Transmembrane protein 179B OS=Homo sapiens OX=9606 GN=TMEM179B PE=1 SV=1,TMEM179B,9.0319E+3,1.2131E+4,1.4283E+4
sp|Q8IXL7|MSRB3_HUMAN,Methionine-R-sulfoxide reductase B3 OS=Homo sapiens OX=9606 GN=MSRB3 PE=1 SV=2,MSRB3,6.0951E+4,5.5129E+4,5.3251E+4
sp|Q9BRV8|SIKE1_HUMAN,Suppressor of IKBKE 1 OS=Homo sapiens OX=9606 GN=SIKE1 PE=1 SV=1,SIKE1,1.1561E+4,1.6840E+4,1.2447E+4
sp|Q9BXD5|NPL_HUMAN,N-acetylneuraminate lyase OS=Homo sapiens OX=9606 GN=NPL PE=1 SV=1,NPL,5.7805E+3,6.1287E+3,7.3764E+3
sp|Q9GZT6|CC90B_HUMAN,"Coiled-coil domain-containing protein 90B, mitochondrial OS=Homo sapiens OX=9606 GN=CCDC90B PE=1 SV=2",CCDC90B,7.6987E+3,8.5412E+3,7.6854E+3
sp|Q9H173|SIL1_HUMAN,Nucleotide exchange factor SIL1 OS=Homo sapiens OX=9606 GN=SIL1 PE=1 SV=1,SIL1,4.4577E+4,2.9921E+4,2.5727E+4
sp|Q9H257|CARD9_HUMAN,Caspase recruitment domain-containing protein 9 OS=Homo sapiens OX=9606 GN=CARD9 PE=1 SV=2,CARD9,6.7237E+4,3.0994E+4,6.4800E+4
sp|Q9HBI1|PARVB_HUMAN,Beta-parvin OS=Homo sapiens OX=9606 GN=PARVB PE=1 SV=1,PARVB,9.0982E+6,9.3703E+6,9.6000E+6
sp|Q9P0P8|MRES1_HUMAN,Mitochondrial transcription rescue factor 1 OS=Homo sapiens OX=9606 GN=MTRES1 PE=1 SV=1,MTRES1,3.6504E+3,6.9729E+3,8.4626E+3
sp|Q9P2E5|CHPF2_HUMAN,Chondroitin sulfate glucuronyltransferase OS=Homo sapiens OX=9606 GN=CHPF2 PE=1 SV=2,CHPF2,1.7660E+4,2.8346E+4,3.2320E+4
sp|Q9ULL4|PLXB3_HUMAN,Plexin-B3 OS=Homo sapiens OX=9606 GN=PLXNB3 PE=1 SV=2,PLXNB3,1.1047E+6,9.6076E+5,8.6460E+5
sp|Q9Y305|ACOT9_HUMAN,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT9 PE=1 SV=2",ACOT9,8.4472E+5,8.7777E+5,8.6890E+5
sp|O14556|G3PT_HUMAN,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific OS=Homo sapiens OX=9606 GN=GAPDHS PE=1 SV=2",GAPDHS,#N/A,#N/A,#N/A
sp|O14786|NRP1_HUMAN,Neuropilin-1 OS=Homo sapiens OX=9606 GN=NRP1 PE=1 SV=3,NRP1,6.1148E+6,6.2305E+6,5.8947E+6
sp|O15120|PLCB_HUMAN,1-acyl-sn-glycerol-3-phosphate acyltransferase beta OS=Homo sapiens OX=9606 GN=AGPAT2 PE=1 SV=1,AGPAT2,5.5094E+4,5.3773E+4,5.5822E+4
sp|O75688|PPM1B_HUMAN,Protein phosphatase 1B OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1,PPM1B,2.8439E+5,3.4842E+5,3.5939E+5
sp|O95727|CRTAM_HUMAN,Cytotoxic and regulatory T-cell molecule OS=Homo sapiens OX=9606 GN=CRTAM PE=1 SV=2,CRTAM,1.3164E+4,6.9908E+3,9.1583E+3
sp|P13639|EF2_HUMAN,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,EEF2,2.2795E+5,2.3792E+5,2.6768E+5
sp|P16152|CBR1_HUMAN,Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3,CBR1,1.3063E+6,1.3535E+6,1.2950E+6
