Protein,Protein Description,Protein Gene,Astral_MixA_01 Sum Normalized Area,Astral_MixA_02 Sum Normalized Area,Astral_MixA_03 Sum Normalized Area,Astral_MixB_01 Sum Normalized Area,Astral_MixB_02 Sum Normalized Area,Astral_MixB_03 Sum Normalized Area,Astral_MixC_01 Sum Normalized Area,Astral_MixC_02 Sum Normalized Area,Astral_MixC_03 Sum Normalized Area,Astral_MixD_01 Sum Normalized Area,Astral_MixD_02 Sum Normalized Area,Astral_MixD_03 Sum Normalized Area,Astral_MixE_01 Sum Normalized Area,Astral_MixE_02 Sum Normalized Area,Astral_MixE_03 Sum Normalized Area,Astral_MixF_01 Sum Normalized Area,Astral_MixF_02 Sum Normalized Area,Astral_MixF_03 Sum Normalized Area,Astral_MixG_01 Sum Normalized Area,Astral_MixG_02 Sum Normalized Area,Astral_MixG_03 Sum Normalized Area,Astral_MixH_01 Sum Normalized Area,Astral_MixH_02 Sum Normalized Area,Astral_MixH_03 Sum Normalized Area,Astral_MixI_01 Sum Normalized Area,Astral_MixI_02 Sum Normalized Area,Astral_MixI_03 Sum Normalized Area,Astral_MixJ_01 Sum Normalized Area,Astral_MixJ_02 Sum Normalized Area,Astral_MixJ_03 Sum Normalized Area,Astral_MixK_01 Sum Normalized Area,Astral_MixK_02 Sum Normalized Area,Astral_MixK_03 Sum Normalized Area,Astral_MixL_01 Sum Normalized Area,Astral_MixL_02 Sum Normalized Area,Astral_MixL_03 Sum Normalized Area,Astral_MixM_01 Sum Normalized Area,Astral_MixM_02 Sum Normalized Area,Astral_MixM_03 Sum Normalized Area,Astral_MixN_01 Sum Normalized Area,Astral_MixN_02 Sum Normalized Area,Astral_MixN_03 Sum Normalized Area
sp|A0A0B4J1X8|HV343_HUMAN,Immunoglobulin heavy variable 3-43 OS=Homo sapiens OX=9606 GN=IGHV3-43 PE=1 SV=1,IGHV3-43,3.2935E+6,3.1638E+6,2.8588E+6,2.4253E+6,2.2587E+6,2.3853E+6,1.8677E+6,3.5056E+5,1.8826E+6,1.2874E+6,1.2685E+6,1.1872E+6,4.8226E+5,3.7328E+5,4.4986E+5,4.3501E+5,4.2396E+5,3.7352E+5,3.2657E+5,3.3207E+5,3.1723E+5,2.1213E+5,2.2994E+5,2.1324E+5,5.6261E+4,1.5072E+5,1.2101E+5,1.5220E+5,4.8994E+4,3.5946E+4,1.4036E+5,1.2599E+5,1.1625E+5,1.1435E+5,1.0085E+5,#N/A,#N/A,8.4776E+4,8.6650E+4,9.1882E+4,8.5408E+4,6.3083E+4
sp|O00469|PLOD2_HUMAN,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2",PLOD2,1.9883E+4,2.1503E+4,3.0749E+4,3.8378E+4,3.4192E+3,1.9917E+4,2.6894E+4,4.8249E+4,3.5526E+4,3.2378E+4,4.4384E+4,3.5301E+4,3.6825E+4,2.0061E+4,2.0289E+4,3.7018E+4,5.6829E+4,2.9165E+4,1.9743E+4,4.7391E+4,2.9979E+4,1.8009E+4,2.2325E+4,1.2109E+4,#N/A,2.7720E+4,3.3012E+4,2.7082E+4,2.2783E+4,3.0691E+4,#N/A,2.6346E+4,2.2757E+4,3.1800E+4,4.5775E+4,3.4219E+4,#N/A,2.8159E+4,3.2635E+4,4.6027E+4,3.8175E+4,#N/A
sp|O43572|AKA10_HUMAN,"A-kinase anchor protein 10, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP10 PE=1 SV=2",AKAP10,3.4070E+3,3.6333E+3,6.0035E+3,#N/A,#N/A,1.8645E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O43820|HYAL3_HUMAN,Hyaluronidase-3 OS=Homo sapiens OX=9606 GN=HYAL3 PE=1 SV=1,HYAL3,#N/A,1.9750E+4,#N/A,#N/A,#N/A,7.3198E+3,1.8095E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O43847|NRDC_HUMAN,Nardilysin OS=Homo sapiens OX=9606 GN=NRDC PE=1 SV=3,NRDC,2.1950E+5,2.4645E+5,1.9294E+5,1.6064E+5,1.4997E+5,1.4133E+5,6.8935E+4,1.0180E+5,6.5041E+4,5.0554E+4,3.8408E+4,3.5071E+4,3.5383E+3,7.7457E+3,1.3809E+4,#N/A,2.6068E+3,3.0414E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P04003|C4BPA_HUMAN,C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2,C4BPA,2.9726E+9,2.8142E+9,2.7436E+9,2.2103E+9,2.0343E+9,2.0014E+9,1.6950E+9,1.5897E+9,1.5893E+9,1.1169E+9,9.3476E+8,9.4934E+8,3.9835E+8,3.2158E+8,3.3419E+8,3.1038E+8,2.8252E+8,2.8066E+8,2.1361E+8,2.1008E+8,1.9232E+8,1.3027E+8,1.2930E+8,1.1732E+8,4.4200E+7,4.3131E+7,4.0482E+7,3.4674E+7,3.4123E+7,3.0618E+7,2.6223E+7,2.3704E+7,2.2066E+7,1.5693E+7,1.6180E+7,1.2257E+7,6.5752E+6,4.4654E+6,5.5246E+6,1.8104E+4,1.0593E+5,8.1840E+4
sp|P21281|VATB2_HUMAN,"V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3",ATP6V1B2,3.2129E+5,3.0246E+5,2.6405E+5,2.2475E+5,2.0617E+5,2.0567E+5,2.1524E+5,2.0861E+5,1.4512E+5,1.3808E+5,1.3256E+5,9.3475E+4,2.2250E+4,1.9240E+4,1.4317E+4,4.0713E+3,1.0796E+4,9.6463E+2,3.7768E+3,#N/A,4.7787E+3,#N/A,1.7098E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P24752|THIL_HUMAN,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1",ACAT1,3.6467E+5,3.4914E+5,3.7458E+5,2.7707E+5,2.0795E+5,2.4123E+5,1.9294E+5,1.6941E+5,1.4909E+5,1.2106E+5,1.3299E+5,4.8818E+4,4.3187E+3,#N/A,1.6092E+4,7.0228E+3,#N/A,1.4743E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P27361|MK03_HUMAN,Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=4,MAPK3,5.3639E+5,4.6071E+5,3.6950E+5,3.9550E+5,3.0570E+5,3.6646E+5,2.8490E+5,2.7210E+5,2.5712E+5,2.0773E+5,2.4811E+5,1.3609E+5,#N/A,#N/A,3.9876E+4,#N/A,1.0396E+4,#N/A,#N/A,1.4986E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P40227|TCPZ_HUMAN,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,CCT6A,2.4047E+6,2.3156E+6,2.1096E+6,1.7954E+6,1.5217E+6,1.5047E+6,1.2289E+6,1.2185E+6,1.0698E+6,7.0823E+5,6.7737E+5,6.5601E+5,2.0669E+5,1.3987E+5,1.4649E+5,1.2641E+5,1.2671E+5,1.2886E+5,6.4205E+4,1.0481E+5,6.4291E+4,3.8409E+4,1.9051E+4,1.9451E+4,#N/A,#N/A,3.3277E+3,#N/A,#N/A,6.0070E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P51809|VAMP7_HUMAN,Vesicle-associated membrane protein 7 OS=Homo sapiens OX=9606 GN=VAMP7 PE=1 SV=3,VAMP7,1.2840E+5,1.2493E+5,1.1926E+5,7.8032E+4,8.0545E+4,8.4639E+4,6.5145E+4,6.0848E+4,5.3811E+4,4.1778E+4,4.4123E+4,3.6165E+4,1.3705E+4,1.5014E+4,1.0039E+4,1.1321E+4,8.4001E+3,#N/A,7.5509E+3,6.4595E+3,6.6375E+3,2.8933E+3,8.2900E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P52564|MP2K6_HUMAN,Dual specificity mitogen-activated protein kinase kinase 6 OS=Homo sapiens OX=9606 GN=MAP2K6 PE=1 SV=1,MAP2K6,7.7605E+3,6.6026E+3,4.9588E+3,5.3318E+3,4.3470E+3,#N/A,3.6480E+3,2.1811E+3,2.2038E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P58215|LOXL3_HUMAN,Lysyl oxidase homolog 3 OS=Homo sapiens OX=9606 GN=LOXL3 PE=1 SV=1,LOXL3,9.1321E+5,6.3557E+5,6.5309E+5,4.9746E+5,3.5634E+5,4.8175E+5,4.1141E+5,3.6975E+5,4.2276E+5,1.9777E+5,1.8395E+5,2.0338E+5,2.0542E+5,1.5012E+4,1.5070E+4,7.2915E+4,#N/A,1.2311E+4,3.1488E+4,7.5814E+3,2.7595E+3,1.0347E+2,5.2042E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P78417|GSTO1_HUMAN,Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2,GSTO1,1.7512E+7,1.6722E+7,1.5456E+7,1.2219E+7,1.0944E+7,1.1178E+7,8.9341E+6,8.8421E+6,8.9385E+6,5.5551E+6,5.9514E+6,4.7217E+6,1.8250E+6,1.4341E+6,1.4664E+6,1.3067E+6,1.1957E+6,1.2869E+6,8.3513E+5,9.1970E+5,8.3716E+5,3.7785E+5,5.1515E+5,5.1641E+5,1.3314E+5,1.1741E+5,7.1354E+4,9.4931E+4,4.4348E+4,5.2965E+4,3.5509E+4,2.8896E+4,5.1747E+3,1.1889E+4,1.4079E+4,1.3162E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q330K2|NDUF6_HUMAN,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 OS=Homo sapiens OX=9606 GN=NDUFAF6 PE=1 SV=2",NDUFAF6,7.2929E+3,6.8068E+3,6.3487E+3,4.3337E+3,8.1072E+3,8.1350E+3,6.3493E+3,#N/A,5.4538E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5BJH7|YIF1B_HUMAN,Protein YIF1B OS=Homo sapiens OX=9606 GN=YIF1B PE=1 SV=1,YIF1B,1.8830E+4,1.1430E+4,1.7511E+4,1.4167E+4,1.7013E+4,1.2727E+4,7.6510E+3,1.2449E+4,6.6346E+3,1.5146E+4,1.8483E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q7Z7M9|GALT5_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 5 OS=Homo sapiens OX=9606 GN=GALNT5 PE=1 SV=1,GALNT5,1.2925E+4,1.3681E+4,8.4977E+3,#N/A,1.5058E+4,2.2869E+3,#N/A,#N/A,2.3821E+3,3.6640E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8NAA5|LR75A_HUMAN,Leucine-rich repeat-containing protein 75A OS=Homo sapiens OX=9606 GN=LRRC75A PE=1 SV=2,LRRC75A,6.1384E+3,1.6533E+4,1.8700E+4,2.2282E+4,#N/A,1.5794E+4,1.2775E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92608|DOCK2_HUMAN,Dedicator of cytokinesis protein 2 OS=Homo sapiens OX=9606 GN=DOCK2 PE=1 SV=2,DOCK2,1.7997E+5,3.9100E+4,2.6813E+4,1.8261E+4,2.3286E+4,4.4108E+5,1.9830E+4,1.0329E+4,1.3158E+6,3.8507E+3,#N/A,2.0928E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96MH6|DIESL_HUMAN,DGAT1/2-independent enzyme synthesizing storage lipids OS=Homo sapiens OX=9606 GN=TMEM68 PE=1 SV=2,TMEM68,4.5353E+4,1.0155E+5,7.6179E+4,7.5434E+4,4.0916E+4,4.7904E+4,2.8602E+4,2.1366E+4,1.8162E+4,9.6369E+3,1.5134E+4,1.1283E+4,3.2358E+3,#N/A,5.2522E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96QE3|ATAD5_HUMAN,ATPase family AAA domain-containing protein 5 OS=Homo sapiens OX=9606 GN=ATAD5 PE=1 SV=4,ATAD5,#N/A,#N/A,#N/A,1.3611E+4,#N/A,#N/A,1.0599E+4,1.4228E+4,#N/A,#N/A,#N/A,8.5026E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96RI0|PAR4_HUMAN,Proteinase-activated receptor 4 OS=Homo sapiens OX=9606 GN=F2RL3 PE=1 SV=3,F2RL3,2.8799E+5,2.2479E+5,2.2994E+5,2.3217E+5,1.6428E+5,1.6556E+5,1.3262E+5,1.1285E+5,1.3159E+5,6.9831E+4,6.4781E+4,6.8341E+4,1.7068E+4,7.5757E+3,1.6155E+4,1.8706E+4,1.9977E+4,1.1585E+4,1.2648E+4,1.3886E+4,9.7924E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96RT1|ERBIN_HUMAN,Erbin OS=Homo sapiens OX=9606 GN=ERBIN PE=1 SV=2,ERBIN,9.4245E+5,9.1711E+5,8.2895E+5,5.6339E+5,5.9872E+5,5.7891E+5,3.8833E+5,4.8850E+5,4.4863E+5,2.3450E+5,1.8680E+5,1.7434E+5,1.0421E+4,6.1447E+3,4.5829E+4,3.1584E+4,1.1578E+4,1.2531E+4,1.5016E+4,2.2159E+3,9.8629E+3,2.1881E+3,1.5263E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9P2D3|HTR5B_HUMAN,HEAT repeat-containing protein 5B OS=Homo sapiens OX=9606 GN=HEATR5B PE=1 SV=2,HEATR5B,8.0025E+4,1.3208E+5,5.5826E+4,3.9606E+4,3.5913E+4,5.1288E+4,1.3615E+4,2.6895E+4,2.5148E+4,6.8360E+3,7.3340E+3,9.5287E+3,2.3899E+3,#N/A,1.5025E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O43304|S14L5_HUMAN,SEC14-like protein 5 OS=Homo sapiens OX=9606 GN=SEC14L5 PE=1 SV=3,SEC14L5,9.2411E+4,1.0406E+5,8.9334E+4,6.8523E+4,7.0835E+4,8.6440E+4,4.8870E+4,3.0378E+4,3.6023E+4,2.4686E+4,1.5820E+4,#N/A,#N/A,8.1335E+3,#N/A,#N/A,1.8234E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O75787|RENR_HUMAN,Renin receptor OS=Homo sapiens OX=9606 GN=ATP6AP2 PE=1 SV=2,ATP6AP2,6.8068E+4,6.8637E+4,7.9636E+4,1.9663E+4,3.7502E+4,3.1456E+4,3.4758E+4,3.9726E+4,2.0048E+4,1.7562E+4,2.0923E+4,8.2776E+3,1.4936E+4,2.2333E+4,1.6923E+4,2.2943E+4,2.2746E+4,1.4401E+4,2.6220E+4,1.9671E+4,2.0536E+4,2.1491E+4,2.1899E+4,1.7030E+4,2.3998E+4,1.6271E+4,1.9967E+4,1.9423E+4,2.4222E+4,2.0851E+4,3.1961E+4,2.4084E+4,2.2632E+4,2.4700E+4,2.8877E+4,1.6756E+4,2.4984E+4,3.1606E+4,2.3349E+4,2.0054E+4,1.7893E+4,1.8470E+4
sp|O95445|APOM_HUMAN,Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2,APOM,3.4161E+6,2.7105E+6,3.1900E+6,2.7644E+6,2.0533E+6,2.4126E+6,1.8737E+6,1.7165E+6,1.5763E+6,1.1270E+6,1.1533E+6,1.1048E+6,3.5597E+5,2.8286E+5,3.5540E+5,2.4706E+5,2.4144E+5,2.1614E+5,1.8052E+5,1.9464E+5,1.6961E+5,1.2557E+5,8.9492E+4,1.1036E+5,2.1536E+4,2.3335E+4,#N/A,3.3589E+3,#N/A,6.8366E+3,#N/A,9.5739E+3,#N/A,#N/A,#N/A,2.6770E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P15289|ARSA_HUMAN,Arylsulfatase A OS=Homo sapiens OX=9606 GN=ARSA PE=1 SV=3,ARSA,2.6609E+5,2.0946E+5,2.0704E+5,1.7957E+5,1.4389E+5,1.6089E+5,9.2245E+4,1.9249E+5,1.4482E+5,6.3206E+4,3.1565E+4,4.6669E+4,6.3095E+3,2.0273E+4,4.6729E+3,4.0281E+3,#N/A,#N/A,6.7539E+3,8.0020E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P19971|TYPH_HUMAN,Thymidine phosphorylase OS=Homo sapiens OX=9606 GN=TYMP PE=1 SV=2,TYMP,4.9367E+6,4.7604E+6,4.2627E+6,3.8115E+6,3.3127E+6,3.2724E+6,2.6884E+6,2.8381E+6,2.6174E+6,1.8040E+6,1.8926E+6,1.5958E+6,9.8000E+5,7.5700E+5,6.0473E+5,6.2704E+5,6.5254E+5,5.6614E+5,3.5004E+5,7.1759E+5,3.3944E+5,4.3253E+5,5.5742E+5,2.1030E+5,1.7767E+4,7.8014E+4,4.2550E+3,8.3705E+3,#N/A,6.9447E+2,1.4584E+4,#N/A,#N/A,#N/A,#N/A,2.8525E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P49407|ARRB1_HUMAN,Beta-arrestin-1 OS=Homo sapiens OX=9606 GN=ARRB1 PE=1 SV=2,ARRB1,7.6532E+5,7.4386E+5,7.0221E+5,5.8385E+5,4.4933E+5,4.8712E+5,3.8780E+5,4.4509E+5,3.8786E+5,2.3580E+5,2.6921E+5,2.0454E+5,7.1962E+4,6.9151E+4,6.7433E+4,6.1122E+4,4.0353E+4,4.5089E+4,2.6100E+4,4.1956E+4,3.2953E+4,2.3193E+4,1.9329E+4,1.3471E+4,#N/A,7.0538E+3,#N/A,2.2126E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P78386|KRT85_HUMAN,"Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1",KRT85,2.6330E+5,2.6647E+5,2.4079E+5,1.6733E+5,1.4333E+5,1.6559E+5,1.3309E+5,1.5681E+5,8.0010E+4,6.3401E+4,9.8105E+4,3.7655E+4,2.9796E+4,2.4074E+4,#N/A,#N/A,#N/A,2.5032E+4,2.5265E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q68D91|MBLC2_HUMAN,Acyl-coenzyme A thioesterase MBLAC2 OS=Homo sapiens OX=9606 GN=MBLAC2 PE=1 SV=3,MBLAC2,3.4124E+5,3.5003E+5,4.5163E+5,1.9270E+5,2.0849E+5,2.4814E+5,1.5645E+5,1.2880E+5,1.1990E+5,7.1025E+4,2.0345E+5,9.3122E+4,9.0333E+3,5.9535E+3,3.0227E+3,2.7657E+3,#N/A,4.9067E+3,2.1529E+3,#N/A,4.9917E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86TX2|ACOT1_HUMAN,Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,ACOT1,4.9859E+5,6.8917E+5,5.8932E+5,4.0424E+5,2.9474E+5,3.7287E+5,1.2040E+5,8.5447E+4,7.0491E+4,7.9132E+4,1.0726E+5,4.9648E+4,1.2253E+4,1.3012E+4,2.6989E+3,2.8093E+3,7.4154E+3,1.5090E+3,#N/A,4.5169E+3,3.4293E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86X83|COMD2_HUMAN,COMM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=COMMD2 PE=1 SV=2,COMMD2,2.7646E+4,2.4392E+4,2.1299E+4,1.2489E+4,2.4839E+4,1.7314E+4,1.4106E+4,1.9549E+4,8.1967E+3,8.2704E+3,5.2531E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8IUG5|MY18B_HUMAN,Unconventional myosin-XVIIIb OS=Homo sapiens OX=9606 GN=MYO18B PE=1 SV=2,MYO18B,8.3465E+4,7.1695E+4,8.3457E+4,1.5833E+5,1.5892E+5,1.5062E+5,2.6732E+5,2.3322E+5,2.4062E+5,3.7086E+3,4.4101E+5,1.6609E+3,#N/A,3.6246E+5,2.8803E+5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N128|F177A_HUMAN,Protein FAM177A1 OS=Homo sapiens OX=9606 GN=FAM177A1 PE=1 SV=1,FAM177A1,9.2816E+4,1.0575E+5,8.0361E+4,7.2465E+4,7.5228E+4,5.6512E+4,5.0391E+4,4.8909E+4,3.6031E+4,1.7952E+4,2.2682E+4,2.9494E+4,5.2026E+3,1.0679E+4,5.7317E+3,2.1241E+3,1.3071E+4,4.3935E+3,#N/A,7.4884E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q969X1|LFG3_HUMAN,Protein lifeguard 3 OS=Homo sapiens OX=9606 GN=TMBIM1 PE=1 SV=2,TMBIM1,2.6830E+5,2.6566E+5,2.7170E+5,1.9432E+5,1.5174E+5,1.7077E+5,1.2443E+5,1.3265E+5,1.2416E+5,9.8159E+4,1.1547E+5,7.7802E+4,4.2326E+4,1.5767E+4,3.1428E+4,1.1256E+4,2.0620E+4,2.0414E+4,2.8553E+4,#N/A,#N/A,#N/A,#N/A,3.6599E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96C45|ULK4_HUMAN,Serine/threonine-protein kinase ULK4 OS=Homo sapiens OX=9606 GN=ULK4 PE=1 SV=2,ULK4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1183E+4,1.9027E+4,#N/A,#N/A,#N/A,#N/A,#N/A,1.3209E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3045E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2980E+4,#N/A,1.9785E+4,#N/A,#N/A
